Tên,Link ảnh,Inch,Độ phân giải,Giá gốc,Giá giảm,Link chi tiết
Samsung Smart TV QLED QA65Q65D,https://cdn.tgdd.vn/Products/Images/1942/322673/tivi-qled-samsung-4k-65-inch-qa65q65d-120324-011429-550x340.jpg,65 inch,4K,21900000,19190000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-65-inch-qa65q65d
Samsung Smart TV UA43CU8000,https://cdn.tgdd.vn/Products/Images/1942/303233/smart-tivi-samsung-4k-43-inch-ua43cu8000-020323-111920-550x340.jpg,43 inch,4K,10400000,10400000,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-43-inch-ua43cu8000
TCL Google TV 40S5400,https://cdn.tgdd.vn/Products/Images/1942/306074/google-tivi-tcl-40-inch-40s5400-thumb-550x340.jpg,40 inch,Full HD,5790000,5590000,https://www.dienmayxanh.com/tivi/google-tivi-tcl-40-inch-40s5400
Samsung Smart TV UA43AU7002,https://cdn.tgdd.vn/Products/Images/1942/279935/product-279935-110522-094032-550x340.jpg,43 inch,4K,8400000,7890000,https://www.dienmayxanh.com/tivi/smart-samsung-4k-43-inch-ua43au7002
Toshiba Smart TV 43V31MP,https://cdn.tgdd.vn/Products/Images/1942/311367/smart-tivi-toshiba-43-inch-43v31mp-280723-033129-550x340.jpg,43 inch,Full HD,6990000,5490000,https://www.dienmayxanh.com/tivi/smart-tivi-toshiba-43-inch-43v31mp?utm_flashsale=1
Sony Google TV KD-43X77L,https://cdn.tgdd.vn/Products/Images/1942/308371/google-tivi-sony-4k-43-inch-kd-43x77l-010623-032203-550x340.jpg,43 inch,4K,11890000,11390000,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-43-inch-kd-43x77l
TCL Google TV QLED 43C69B,https://cdn.tgdd.vn/Products/Images/1942/322960/tivi-qled-tcl-4k-43-inch-43c69b-thumb-550x340.jpg,43 inch,4K,9990000,8690000,https://www.dienmayxanh.com/tivi/tivi-qled-tcl-4k-43-inch-43c69b
LG Smart TV 55UT8050PSB,https://cdn.tgdd.vn/Products/Images/1942/324905/tivi-led-lg-4k-55-inch-55ut8050psb-thumb-550x340.jpg,55 inch,4K,16900000,12490000,https://www.dienmayxanh.com/tivi/tivi-led-lg-4k-55-inch-55ut8050psb?utm_flashsale=1
AQUA Android TV AQT43K800FG,https://cdn.tgdd.vn/Products/Images/1942/327550/TimerThumb/android-tivi-aqua-43-inch-aqt43k800fg.jpg,43 inch,Full HD,6490000,5490000,https://www.dienmayxanh.com/tivi/android-tivi-aqua-43-inch-aqt43k800fg
Hisense Android TV 43A4N,https://cdn.tgdd.vn/Products/Images/1942/327177/android-tivi-led-hisense-43-inch-43a4n-thumb-1-550x340.jpg,43 inch,Full HD,6990000,5490000,https://www.dienmayxanh.com/tivi/android-tivi-led-hisense-43-inch-43a4n
Sony Google TV KD-55X77L,https://cdn.tgdd.vn/Products/Images/1942/308368/google-tivi-sony-4k-55-inch-kd-55x77l-010623-032654-550x340.jpg,55 inch,4K,14890000,14390000,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-55-inch-kd-55x77l
Xiaomi Google TV A L32M8-P2SEA,https://cdn.tgdd.vn/Products/Images/1942/312858/google-tivi-xiaomi-32-inch-l32m8-p2sea-021023-105029-550x340.jpg,32 inch,HD,4490000,3990000,https://www.dienmayxanh.com/tivi/google-tivi-xiaomi-32-inch-l32m8-p2sea
TCL Google TV 55P79B Pro,https://cdn.tgdd.vn/Products/Images/1942/322218/google-tv-tcl-4k-tv-55p79b-pro-thumb-1-550x340.jpg,55 inch,4K,12490000,9290000,https://www.dienmayxanh.com/tivi/google-tv-tcl-4k-tv-55p79b-pro
Hisense Android TV 32A4N,https://cdn.tgdd.vn/Products/Images/1942/327175/android-tivi-led-hisense-32-inch-32a4n-thumb-550x340.jpg,32 inch,HD,4990000,3990000,https://www.dienmayxanh.com/tivi/android-tivi-led-hisense-32-inch-32a4n
LG Smart TV NanoCell 65NANO76SQA,https://cdn.tgdd.vn/Products/Images/1942/278575/smart-nanocell-lg-4k-65-inch-65nano76sqa-200223-095518-550x340.jpg,65 inch,4K,29900000,14590000,https://www.dienmayxanh.com/tivi/smart-nanocell-lg-4k-65-inch-65nano76sqa
Sony Google TV KD-50X77L,https://cdn.tgdd.vn/Products/Images/1942/308369/google-tivi-sony-4k-50-inch-kd-50x77l-010623-032429-550x340.jpg,50 inch,4K,13890000,13190000,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-50-inch-kd-50x77l
LG Smart TV 43UQ7550PSF,https://cdn.tgdd.vn/Products/Images/1942/278546/smart-lg-4k-43-inch-43uq7550psf-150324-033637-550x340.jpg,43 inch,4K,12900000,8890000,https://www.dienmayxanh.com/tivi/smart-lg-4k-43-inch-43uq7550psf
Samsung Smart TV QLED QA43Q65D,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/322676/tivi-qled-samsung-4k-43-inch-qa43q65d-thumb-638631172902965484-550x340.jpg,43 inch,4K,12900000,11200000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-43-inch-qa43q65d
AQUA Google TV QLED AQT55S80EUX,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/327167/google-tv-aqua-qled-4k-55-inch-aqt55s80eux-thumb-638645900471510006-550x340.jpg,55 inch,4K,12990000,9990000,https://www.dienmayxanh.com/tivi/google-tv-aqua-qled-4k-55-inch-aqt55s80eux
Sony Google TV KD-32W830K,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/277446/google-sony-32-inch-kd-32w830k-thumb-638655612335107875-550x340.jpg,32 inch,HD,7490000,7490000,https://www.dienmayxanh.com/tivi/google-sony-32-inch-kd-32w830k
Samsung Smart TV UA32T4202,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/296875/smart-tivi-samsung-32-inch-ua32t4202-thumb-638649332482182015-550x340.jpg,32 inch,HD,5900000,5900000,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-32-inch-ua32t4202
Samsung Smart TV QLED QA75Q65D,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/322672/tivi-qled-samsung-4k-75-inch-qa75q65d-thumb-638649346019061996-550x340.jpg,75 inch,4K,33900000,29460000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-75-inch-qa75q65d
Sony Google TV BRAVIA 3 K-43S30,https://cdn.tgdd.vn/Products/Images/1942/325311/google-tivi-sony-4k-43-inch-k-43s30-thumb-1-550x340.jpg,43 inch,4K,13890000,12790000,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-43-inch-k-43s30
Sony Google TV KD-43X75K,https://cdn.tgdd.vn/Products/Images/1942/275517/google-sony-4k-43-inch-kd-43x75k-141022-100813-550x340.jpg,43 inch,4K,9890000,9290000,https://www.dienmayxanh.com/tivi/google-sony-4k-43-inch-kd-43x75k
Samsung Smart TV UA70DU7000,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/327652/smart-tivi-samsung-4k-crystal-uhd-70-inch-ua70du7000-thumb-638649354945872211-550x340.jpg,70 inch,4K,24900000,14990000,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-crystal-uhd-70-inch-ua70du7000?utm_flashsale=1
Sony Google TV BRAVIA 3 K-65S30,https://cdn.tgdd.vn/Products/Images/1942/325310/google-tivi-sony-4k-65-inch-k-65s30-thumb-1-550x340.jpg,65 inch,4K,26590000,19990000,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-65-inch-k-65s30
LG Smart TV NanoCell 43NANO81TSA,https://cdn.tgdd.vn/Products/Images/1942/324923/tivi-nanocell-lg-4k-43-inch-43nano81sqa-thumb-550x340.jpg,43 inch,4K,13900000,11590000,https://www.dienmayxanh.com/tivi/tivi-nanocell-lg-4k-43-inch-43nano81tsa
TCL Google TV 65P79B Pro,https://cdn.tgdd.vn/Products/Images/1942/322219/google-tv-tcl-4k-tv-65p79b-pro-thumb-1-550x340.jpg,65 inch,4K,15490000,11990000,https://www.dienmayxanh.com/tivi/google-tv-tcl-4k-tv-65p79b-pro
TCL Google TV 43P79B,https://cdn.tgdd.vn/Products/Images/1942/322217/google-tv-tcl-4k-43-inch-43p79b-thumb-1-550x340.jpg,43 inch,4K,8290000,7990000,https://www.dienmayxanh.com/tivi/google-tv-tcl-4k-43-inch-43p79b
LG Smart TV 55QNED80TSA,https://cdn.tgdd.vn/Products/Images/1942/324929/tivi-qned-lg-4k-55-inch-55qned80tsa-240424-093409-550x340.jpg,55 inch,4K,22900000,16590000,https://www.dienmayxanh.com/tivi/tivi-qned-lg-4k-55-inch-55qned80tsa
TCL Google TV QLED 55C69B,https://cdn.tgdd.vn/Products/Images/1942/322961/tivi-qled-tcl-4k-55-inch-55c69b-thumb-550x340.jpg,55 inch,4K,13990000,10990000,https://www.dienmayxanh.com/tivi/tivi-qled-tcl-4k-55-inch-55c69b
Samsung Smart TV UA55DU8000,https://cdn.tgdd.vn/Products/Images/1942/322686/smart-tivi-samsung-4k-55-inch-ua55du8000-120324-013138-550x340.jpg,55 inch,4K,15400000,15370000,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-55-inch-ua55du8000
LG Smart TV 65QNED80TSA,https://cdn.tgdd.vn/Products/Images/1942/324928/tivi-qned-lg-4k-65-inch-65qned80tsa-240424-092712-550x340.jpg,65 inch,4K,29900000,18590000,https://www.dienmayxanh.com/tivi/tivi-qned-lg-4k-65-inch-65qned80tsa
Xiaomi Google TV A L43MA-AFSEA,https://cdn.tgdd.vn/Products/Images/1942/328686/google-tivi-xiaomi-a-43-inch-l43ma-afsea-2025-thumb-550x340.jpg,43 inch,Full HD,6490000,5590000,https://www.dienmayxanh.com/tivi/google-tivi-xiaomi-a-43-inch-l43ma-afsea-2025
TCL Google TV 50P79B,https://cdn.tgdd.vn/Products/Images/1942/326476/google-tv-tcl-4k-50-inch-50p79b-thumb-2-550x340.jpg,50 inch,4K,9490000,9490000,https://www.dienmayxanh.com/tivi/google-tv-tcl-4k-50-inch-50p79b
Sony Google TV KD-65X77L,https://cdn.tgdd.vn/Products/Images/1942/308367/google-tivi-sony-4k-65-inch-kd-65x77l-010623-033017-550x340.jpg,65 inch,4K,18890000,18390000,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-65-inch-kd-65x77l
LG Smart TV 65UT8050PSB,https://cdn.tgdd.vn/Products/Images/1942/324914/tivi-led-lg-4k-65-inch-65ut8050psb-thumb-550x340.jpg,65 inch,4K,19900000,13390000,https://www.dienmayxanh.com/tivi/tivi-led-lg-4k-65-inch-65ut8050psb
Xiaomi Google TV QLED A Pro L43MA-SSEA,https://cdn.tgdd.vn/Products/Images/1942/327370/google-tivi-xiaomi-a-pro-4k-43-inch-l43ma-ssea-thumb-1-550x340.jpg,43 inch,4K,7990000,7090000,https://www.dienmayxanh.com/tivi/google-tivi-xiaomi-a-pro-4k-43-inch-l43ma-ssea
LG Smart TV 65QNED86TSA,https://cdn.tgdd.vn/Products/Images/1942/324921/tivi-qned-lg-4k-65-inch-65qned86tsa-thumb-1-550x340.jpg,65 inch,4K,34900000,23990000,https://www.dienmayxanh.com/tivi/tivi-qned-lg-4k-65-inch-65qned86tsa
LG Smart TV 43UT8050PSB,https://cdn.tgdd.vn/Products/Images/1942/324901/tivi-led-4k-lg-43-inch-43ut8050psb-thum-550x340.jpg,43 inch,4K,11900000,10390000,https://www.dienmayxanh.com/tivi/tivi-led-4k-lg-43-inch-43ut8050psb
TCL Google TV 75P79B Pro,https://cdn.tgdd.vn/Products/Images/1942/322220/google-tv-tcl-4k-75-inch-75p79b-pro-thumb-1-550x340.jpg,75 inch,4K,20990000,14990000,https://www.dienmayxanh.com/tivi/google-tv-tcl-4k-75-inch-75p79b-pro
Samsung Smart TV UA43DU8000,https://cdn.tgdd.vn/Products/Images/1942/322688/smart-tivi-samsung-4k-43-inch-ua43du8000-120324-013605-550x340.jpg,43 inch,4K,11400000,11400000,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-43-inch-ua43du8000
Hisense Google TV 43A6500K,https://cdn.tgdd.vn/Products/Images/1942/321459/TimerThumb/tivi-led-4k-hisense-43a6500k-(9).jpg,43 inch,4K,8990000,6490000,https://www.dienmayxanh.com/tivi/tivi-led-4k-hisense-43a6500k
Sony Google TV BRAVIA 3 K-50S30,https://cdn.tgdd.vn/Products/Images/1942/325312/google-tivi-sony-4k-50-inch-k-50s30-thumb-3-550x340.jpg,50 inch,4K,17890000,15890000,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-50-inch-k-50s30
AQUA Google TV AQT50K800UG,https://cdn.tgdd.vn/Products/Images/1942/327164/TimerThumb/android-tivi-aqua-50-inch-aqt50k800ug.jpg,50 inch,4K,8490000,7490000,https://www.dienmayxanh.com/tivi/android-tivi-aqua-50-inch-aqt50k800ug
Samsung Smart TV UA50CU8000,https://cdn.tgdd.vn/Products/Images/1942/303232/smart-tivi-samsung-4k-50-inch-ua50cu8000-020323-111727-550x340.jpg,50 inch,4K,12400000,12400000,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-50-inch-ua50cu8000
TCL Google TV QLED 65C69B,https://cdn.tgdd.vn/Products/Images/1942/322962/google-tivi-qled-tcl-4k-65-inch-65c69b-thumb-550x340.jpg,65 inch,4K,17990000,13590000,https://www.dienmayxanh.com/tivi/google-tivi-qled-tcl-4k-65-inch-65c69b
LG Smart TV 55QNED86TSA,https://cdn.tgdd.vn/Products/Images/1942/325499/tivi-qned-lg-4k-55-inch-55qned86tsa-thumb-550x340.jpg,55 inch,4K,27900000,19900000,https://www.dienmayxanh.com/tivi/tivi-qned-lg-4k-55-inch-55qned86tsa
LG Smart TV 50UT8050PSB,https://cdn.tgdd.vn/Products/Images/1942/324903/tivi-led-4k-lg-50inch-50ut8050psb-thumb-550x340.jpg,50 inch,4K,14900000,11590000,https://www.dienmayxanh.com/tivi/tivi-led-4k-lg-50inch-50ut8050psb
LG Smart TV 75UT8050PSB,https://cdn.tgdd.vn/Products/Images/1942/324915/tivi-led-lg-4k-75-inch-75ut8050psb-thumb-550x340.jpg,75 inch,4K,30900000,22490000,https://www.dienmayxanh.com/tivi/tivi-led-lg-4k-75-inch-75ut8050psb
Sony Google TV KD-65X80K,https://cdn.tgdd.vn/Products/Images/1942/274760/android-sony-4k-65-inch-kd-65x80k-1-550x340.png,65 inch,4K,21890000,18890000,https://www.dienmayxanh.com/tivi/android-sony-4k-65-inch-kd-65x80k
Samsung Smart TV UA65DU8000,https://cdn.tgdd.vn/Products/Images/1942/322685/smart-tivi-samsung-4k-65-inch-ua65du8000-120324-022657-550x340.jpg,65 inch,4K,18400000,18370000,https://www.dienmayxanh.com/tivi/smart-tivi-samsung-4k-65-inch-ua65du8000
Samsung Smart TV QLED QA55Q60B,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/273925/smart-qled-4k-55-inch-samsung-qa55q60b-thumb-638649326191894727-550x340.jpg,55 inch,4K,15900000,12490000,https://www.dienmayxanh.com/tivi/smart-qled-4k-55-inch-samsung-qa55q60b
Sony Google TV KD-55X75K,https://cdn.tgdd.vn/Products/Images/1942/275512/google-sony-4k-55-inch-kd-55x75k-141022-100453-550x340.jpg,55 inch,4K,14390000,13490000,https://www.dienmayxanh.com/tivi/google-sony-4k-55-inch-kd-55x75k
Samsung Smart TV QLED QA55Q70D,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/322671/tivi-qled-samsung-4k-55-inch-qa55q70d-thumb-638649342494779806-550x340.jpg,55 inch,4K,21900000,20490000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-55-inch-qa55q70d
Samsung Smart TV QLED QA65Q70D,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/322668/tivi-qled-samsung-4k-65-inch-qa65q70d-thumb-638649341372073477-550x340.jpg,65 inch,4K,26400000,24890000,https://www.dienmayxanh.com/tivi/tivi-qled-samsung-4k-65-inch-qa65q70d
Samsung Smart TV QLED QA50Q60C,https://cdn.tgdd.vn/Products/Images/1942/303227/smart-tivi-qled-4k-50-inch-samsung-qa50q60c-240323-033511-550x340.jpg,50 inch,4K,14900000,14790000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-50-inch-samsung-qa50q60c
LG Smart TV 55UQ7550PSF,https://cdn.tgdd.vn/Products/Images/1942/278549/smart-lg-4k-55-inch-55uq7550psf-150324-035146-550x340.jpg,55 inch,4K,16900000,10990000,https://www.dienmayxanh.com/tivi/smart-lg-4k-55-inch-55uq7550psf
Samsung Smart TV QLED QA43Q60C,https://cdn.tgdd.vn/Products/Images/1942/303226/smart-tivi-qled-4k-43-inch-samsung-qa43q60c-5-1-550x340.jpg,43 inch,4K,12700000,12700000,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-43-inch-samsung-qa43q60c
LG Smart TV NanoCell 50NANO81TSA,https://cdn.tgdd.vn/Products/Images/1942/324925/tivi-nanocell-lg-4k-50-inch-50nano81sqa-thumb-550x340.jpg,50 inch,4K,16400000,13590000,https://www.dienmayxanh.com/tivi/tivi-nanocell-lg-4k-50-inch-50nano81tsa
Smart Tivi Samsung 4K Crystal UHD 43 inch UA43BU8000,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/273392/smart-samsung-4k-43-inch-ua43bu8000-thumb-638649318584782254-550x340.jpg,43 inch,4K,9900000,8990000,https://www.dienmayxanh.com/tivi/smart-samsung-4k-43-inch-ua43bu8000
LG Smart TV 75UR7550PSC,https://cdn.tgdd.vn/Products/Images/1942/306596/smart-tivi-lg-4k-75-inch-75ur7550psc-8-550x340.jpg,75 inch,4K,26900000,18490000,https://www.dienmayxanh.com/tivi/smart-tivi-lg-4k-75-inch-75ur7550psc
LG Smart TV 65UR7550PSC,https://cdn.tgdd.vn/Products/Images/1942/306591/smart-tivi-lg-4k-65-inch-65ur7550psc-0-550x340.jpg,65 inch,4K,16900000,14900000,https://www.dienmayxanh.com/tivi/smart-tivi-lg-4k-65-inch-65ur7550psc
Toshiba Smart TV 55E330MP,https://cdn.tgdd.vn/Products/Images/1942/311368/smart-tivi-toshiba-4k-55-inch-55e330mp-280723-033347-550x340.jpg,55 inch,4K,11990000,9590000,https://www.dienmayxanh.com/tivi/smart-tivi-toshiba-4k-55-inch-55e330mp
Sony Google TV BRAVIA 3 K-75S30,https://cdn.tgdd.vn/Products/Images/1942/325314/google-tivi-sony-4k-75-inch-k-75s30-thumb-1-550x340.jpg,75 inch,4K,39090000,27990000,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-75-inch-k-75s30
Xiaomi Google TV QLED A Pro L55MA-SSEA,https://cdn.tgdd.vn/Products/Images/1942/327369/google-tivi-xiaomi-a-pro-4k-55-inch-l55ma-ssea-thumb-2-550x340.jpg,55 inch,4K,11490000,10090000,https://www.dienmayxanh.com/tivi/google-tivi-xiaomi-a-pro-4k-55-inch-l55ma-ssea
LG Smart TV OLED 55C4PSA,https://cdn.tgdd.vn/Products/Images/1942/324908/tivi-oled-lg-4k-55-inch-55c4psa-thumb-550x340.jpg,55 inch,4K,44900000,32690000,https://www.dienmayxanh.com/tivi/tivi-oled-lg-4k-55-inch-55c4psa
AQUA Google TV QLED AQT70K800UX,https://cdn.tgdd.vn/Products/Images/1942/327551/TimerThumb/google-tivi-aqua-qled-4k-70-inch-aqt70k800ux.jpg,70 inch,4K,14490000,11990000,https://www.dienmayxanh.com/tivi/google-tivi-aqua-qled-4k-70-inch-aqt70k800ux
LG Smart TV OLED 65B4PSA,https://cdn.tgdd.vn/Products/Images/1942/324911/tivi-oled-lg-4k-65-inch-65b4psa-230424-040429-550x340.jpg,65 inch,4K,59900000,37790000,https://www.dienmayxanh.com/tivi/tivi-oled-lg-4k-65-inch-65b4psa
LG Smart TV 75QNED80TSA,https://cdn.tgdd.vn/Products/Images/1942/324926/tivi-qned-lg-4k-75-inch-75qned80tsa-240424-092421-550x340.jpg,75 inch,4K,43900000,28890000,https://www.dienmayxanh.com/tivi/tivi-qned-lg-4k-75-inch-75qned80tsa
LG Smart TV NanoCell 75NANO81TSA,https://cdn.tgdd.vn/Products/Images/1942/324927/tivi-nanocell-lg-4k-75-inch-75nano81sqa-thumb-550x340.jpg,75 inch,4K,36900000,23390000,https://www.dienmayxanh.com/tivi/tivi-nanocell-lg-4k-75-inch-75nano81tsa
AQUA Google TV QLED AQT55S800UX,https://cdn.tgdd.vn/Products/Images/1942/327171/google-tv-aqua-qled-4k-55-inch-aqt55s800ux-thumb-550x340.jpg,55 inch,4K,14990000,11990000,https://www.dienmayxanh.com/tivi/google-tv-aqua-qled-4k-55-inch-aqt55s800ux
Toshiba Google TV QLED 55M550LP,https://cdn.tgdd.vn/Products/Images/1942/297329/google-tivi-qled-toshiba-4k-55-inch-55m550lp-10-550x340.jpg,55 inch,4K,14990000,10990000,https://www.dienmayxanh.com/tivi/google-tivi-qled-toshiba-4k-55-inch-55m550lp
Sony Google TV KD-75X77L,https://cdn.tgdd.vn/Products/Images/1942/308366/google-tivi-sony-4k-75-inch-kd-75x77l-010623-033210-550x340.jpg,75 inch,4K,30890000,26890000,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-75-inch-kd-75x77l
Toshiba Google TV 65C350LP,https://cdn.tgdd.vn/Products/Images/1942/297322/google-tivi-toshiba-4k-65-inch-65c350lp-10-550x340.jpg,65 inch,4K,20990000,11990000,https://www.dienmayxanh.com/tivi/google-tivi-toshiba-4k-65-inch-65c350lp
LG Smart TV OLED 65C4PSA,https://cdn.tgdd.vn/Products/Images/1942/324907/tivi-oled-lg-4k-65-inch-65c4psa-thumb-550x340.jpg,65 inch,4K,69900000,50690000,https://www.dienmayxanh.com/tivi/tivi-oled-lg-4k-65-inch-65c4psa
Samsung Smart TV QLED QA65Q60B,https://cdnv2.tgdd.vn/mwg-static/dmx/Products/Images/1942/273923/smart-qled-4k-65-inch-samsung-qa65q60b-thumb-638649325372130738-550x340.jpg,65 inch,4K,18900000,13990000,https://www.dienmayxanh.com/tivi/smart-qled-4k-65-inch-samsung-qa65q60b
TCL Google TV QLED 75C69B,https://cdn.tgdd.vn/Products/Images/1942/322963/tivi-qled-tcl-4k-75-inch-75c69b-thumb-550x340.jpg,75 inch,4K,25990000,18990000,https://www.dienmayxanh.com/tivi/tivi-qled-tcl-4k-75-inch-75c69b
TCL Google TV QLED 98C69B,https://cdn.tgdd.vn/Products/Images/1942/322965/google-tivi-qled-tcl-4k-98-inch-98c69b-thumb-550x340.jpg,98 inch,4K,69900000,39990000,https://www.dienmayxanh.com/tivi/google-tivi-qled-tcl-4k-98-inch-98c69b
Toshiba Google TV 43C350LP,https://cdn.tgdd.vn/Products/Images/1942/297318/google-tivi-toshiba-4k-43-inch-43c350lp-10-550x340.jpg,43 inch,4K,9990000,7990000,https://www.dienmayxanh.com/tivi/google-tivi-toshiba-4k-43-inch-43c350lp
